MOIS,CLIENT_ID,homme,courriel,Langue_Francais,naissance,logement,profession,nb_enfant,ville,education,age,revenu,revenu_foyer
31Mar2018 0:00:00,00000000372901,0,1,1,0,0,3,0,3,5,28,64000,87000
31Jul2018 0:00:00,00000000951862,1,0,0,0,0,1,1,2,5,56,56000,56000
30Sep2018 0:00:00,00000000852112,1,1,0,0,0,2,0,6,3,48,67000,94000
31Aug2018 0:00:00,00000000995605,0,1,1,1,1,2,2,3,4,39,53000,243000
31May2018 0:00:00,00000000892185,1,0,1,0,1,6,0,2,4,52,49000,174000
31Dec2018 0:00:00,00000000934896,1,0,0,0,1,3,2,6,5,43,55000,174000
31Mar2018 0:00:00,00000000952936,1,1,0,0,1,1,0,5,5,65,54000,125000
31Jul2018 0:00:00,00000000805812,0,0,0,1,0,2,2,5,3,49,77000,164000
31May2018 0:00:00,00000000156830,1,0,1,0,0,2,0,1,4,49,68000,68000
30Jun2018 0:00:00,00000000148378,1,1,1,0,1,5,4,4,5,49,66000,160000
31Mar2018 0:00:00,00000000887267,1,1,1,0,0,2,0,1,2,55,70000,298000
30Sep2018 0:00:00,00000000829329,0,0,1,0,0,1,0,6,1,36,69000,170000
31May2018 0:00:00,00000000876881,1,1,1,0,1,2,2,5,5,24,80000,80000
28Feb2019 0:00:00,00000000646073,1,1,1,0,0,2,0,5,4,28,69000,69000
31Oct2018 0:00:00,00000000991044,1,0,0,0,0,6,0,1,5,999,54000,173000
28Feb2019 0:00:00,00000000456352,0,1,1,0,1,3,4,6,5,68,71000,134000
31Oct2018 0:00:00,00000000808361,1,0,0,1,0,6,5,4,1,39,58000,217000
31Mar2019 0:00:00,00000000809874,1,0,1,0,1,3,0,5,1,62,16000,137000
31Mar2019 0:00:00,00000000979664,1,1,0,0,0,1,2,2,4,33,60000,195000
31Oct2018 0:00:00,00000000766281,1,0,1,1,0,4,2,4,3,58,67000,67000
30Sep2018 0:00:00,00000000955595,1,1,0,0,1,2,0,2,1,37,55000,248000
31Aug2018 0:00:00,00000000971805,1,1,1,0,0,2,0,6,4,42,36000,111000
28Feb2019 0:00:00,00000000596262,0,1,1,0,0,4,0,4,5,46,68000,68000
31May2018 0:00:00,00000000749883,0,0,1,0,1,1,0,5,5,27,44000,178000
31May2018 0:00:00,00000000911152,0,0,1,0,0,1,0,5,2,46,41000,172000
28Feb2019 0:00:00,00000000750277,1,1,0,0,0,1,0,6,1,31,66000,66000
31May2018 0:00:00,00000000689413,0,1,1,1,1,5,2,6,5,33,62000,62000
31Jan2019 0:00:00,00000000077056,0,1,1,0,0,1,3,6,4,52,72000,72000
31Oct2018 0:00:00,00000000928738,1,1,1,0,0,2,3,5,2,36,79000,139000
31Oct2018 0:00:00,00000000594969,1,1,1,0,0,6,0,6,5,60,62000,219000
30Jun2018 0:00:00,00000000766949,0,1,1,0,0,1,0,5,1,70,71000,225000
30Sep2018 0:00:00,00000000504918,1,1,1,1,1,6,3,5,2,59,61000,111000
30Nov2018 0:00:00,00000000936290,0,1,1,1,0,1,1,5,2,64,54000,71000
31Aug2018 0:00:00,00000000927563,1,1,1,0,1,3,0,4,4,36,83000,149000
30Nov2018 0:00:00,00000000469481,0,1,1,0,0,2,0,5,5,38,68000,165000
31Aug2018 0:00:00,00000000784043,0,0,0,1,1,2,4,6,1,58,43000,43000
28Feb2019 0:00:00,00000000877070,1,1,0,0,0,2,0,1,1,38,77000,77000
30Nov2018 0:00:00,00000000492901,1,1,1,0,0,1,0,1,3,35,76000,169000
31May2018 0:00:00,00000000017456,1,1,1,0,0,1,0,6,5,73,69000,69000
31Oct2018 0:00:00,00000000504676,1,1,1,0,1,1,0,1,5,46,96000,167000
30Sep2018 0:00:00,00000000556684,0,1,0,1,0,1,2,5,1,63,58000,184000
31Mar2019 0:00:00,00000000794932,1,1,1,0,0,6,0,6,5,58,10000,94000
30Jun2018 0:00:00,00000000941830,0,0,1,1,1,3,1,5,3,76,56000,56000
31Mar2019 0:00:00,00000000688810,0,1,0,0,0,2,0,6,2,34,47000,195000
31Mar2019 0:00:00,00000000920080,1,1,0,0,1,2,0,3,2,40,80000,103000
31Dec2018 0:00:00,00000000160767,0,1,1,1,0,3,2,6,3,47,76000,142000
30Jun2018 0:00:00,00000000877507,1,1,0,0,0,3,0,4,5,42,65000,65000
30Apr2018 0:00:00,00000000815552,1,1,1,0,0,4,3,1,5,67,16000,202000
31Oct2018 0:00:00,00000000290971,1,1,1,0,1,2,3,4,3,67,76000,292000
30Nov2018 0:00:00,00000000949758,0,0,1,0,1,3,2,1,1,51,106000,288000
31Dec2018 0:00:00,00000000987450,0,1,1,0,1,6,3,6,1,47,87000,196000
30Sep2018 0:00:00,00000000850247,1,1,1,0,0,3,0,6,5,63,35000,288000
28Feb2019 0:00:00,00000000911575,0,1,1,0,0,3,0,5,1,65,103000,128000
31Jan2019 0:00:00,00000000917835,1,1,0,0,0,3,0,1,3,22,77000,159000
30Apr2018 0:00:00,00000000020346,0,1,0,0,1,1,0,5,2,38,60000,149000
30Sep2018 0:00:00,00000000968711,0,1,0,0,0,2,0,6,3,40,112000,112000
31Aug2018 0:00:00,00000000941166,0,1,0,0,0,4,2,4,2,43,64000,124000
31Mar2018 0:00:00,00000000897853,1,1,0,1,0,1,4,4,5,57,39000,142000
31Dec2018 0:00:00,00000000546267,1,1,1,1,0,3,2,1,2,27,112000,112000
31Mar2018 0:00:00,00000000923401,0,1,1,1,0,2,2,4,3,26,73000,111000
28Feb2019 0:00:00,00000000762704,1,1,0,0,0,3,0,5,3,28,66000,66000
31Aug2018 0:00:00,00000000910986,1,1,1,0,1,1,0,5,3,82,74000,74000
31Mar2018 0:00:00,00000000956849,1,1,1,0,0,2,0,6,1,46,48000,60000
31Mar2019 0:00:00,00000000936022,1,0,1,0,0,2,0,2,1,64,48000,48000
30Sep2018 0:00:00,00000000994605,1,1,0,0,0,5,0,6,1,30,27000,42000
31Jul2018 0:00:00,00000000952194,0,1,0,0,0,3,0,1,1,40,60000,138000
31May2018 0:00:00,00000000928692,1,0,1,1,1,2,4,5,5,56,65000,65000
30Jun2018 0:00:00,00000000079318,1,1,1,0,1,3,0,5,5,69,49000,154000
30Apr2018 0:00:00,00000000956283,1,1,1,0,1,6,0,5,2,41,57000,66000
31Aug2018 0:00:00,00000000302647,1,1,1,1,0,4,1,2,5,999,50000,50000
31Mar2019 0:00:00,00000000912721,0,0,0,0,0,1,0,2,5,55,84000,84000
30Sep2018 0:00:00,00000000964441,0,1,1,0,0,1,0,2,2,53,69000,181000
30Apr2018 0:00:00,00000000114961,1,1,0,0,0,1,0,5,2,64,100000,162000
30Sep2018 0:00:00,00000000974892,1,1,1,1,0,3,5,5,3,52,101000,101000
30Sep2018 0:00:00,00000000734210,1,1,0,0,1,2,0,4,1,55,10000,169000
31Jul2018 0:00:00,00000000764606,1,0,1,0,0,2,0,4,4,46,18000,71000
30Sep2018 0:00:00,00000000525966,0,1,0,1,1,6,5,6,2,43,66000,69000
31Mar2019 0:00:00,00000000583458,0,1,1,1,0,2,3,1,2,69,79000,246000
31Dec2018 0:00:00,00000000486504,1,1,0,0,0,5,0,4,1,44,74000,156000
31Dec2018 0:00:00,00000000827391,1,1,0,0,0,1,0,6,3,43,73000,118000
31Mar2019 0:00:00,00000000892216,0,1,0,0,1,4,0,2,1,67,27000,134000
28Feb2019 0:00:00,00000000889279,1,0,1,0,0,6,0,6,3,58,15000,306000
31Jul2018 0:00:00,00000000967178,0,0,1,0,0,2,0,6,5,27,41000,103000
28Feb2019 0:00:00,00000000566388,1,0,1,0,1,5,0,5,4,30,91000,115000
31Jul2018 0:00:00,00000000909987,0,1,1,0,0,1,4,6,3,30,62000,200000
31Mar2018 0:00:00,00000000868784,1,1,0,0,1,5,0,1,1,32,38000,146000
28Feb2019 0:00:00,00000000991146,0,1,1,1,0,1,4,6,1,44,63000,245000
31May2018 0:00:00,00000000842066,0,1,0,0,0,2,0,6,3,47,61000,88000
30Sep2018 0:00:00,00000000496176,1,1,0,0,0,2,0,6,2,80,48000,85000
31Jan2019 0:00:00,00000000725867,1,0,1,1,0,3,2,3,5,44,52000,119000
30Sep2018 0:00:00,00000000161556,0,1,1,1,0,5,5,1,4,64,33000,310000
31Dec2018 0:00:00,00000000457416,1,0,0,0,0,6,5,3,5,33,78000,81000
30Jun2018 0:00:00,00000000830780,1,1,0,0,1,3,0,6,2,29,47000,127000
31May2018 0:00:00,00000000674631,0,1,1,0,0,4,0,6,1,50,77000,163000
30Jun2018 0:00:00,00000000729543,1,1,1,0,0,3,0,1,3,88,74000,113000
31May2018 0:00:00,00000000473949,0,0,1,0,0,3,0,6,1,81,63000,95000
31Jan2019 0:00:00,00000000950378,1,1,0,0,1,3,4,6,5,35,65000,270000
31Dec2018 0:00:00,00000000544396,1,1,1,0,1,6,0,1,3,27,56000,136000
30Jun2018 0:00:00,00000000617308,1,1,0,0,0,3,0,1,4,49,48000,186000
31Mar2018 0:00:00,00000000946163,0,1,0,0,0,2,2,3,4,30,64000,64000
30Jun2018 0:00:00,00000000805694,0,1,1,0,0,6,0,5,4,28,59000,210000
30Apr2018 0:00:00,00000000914544,0,1,1,0,0,1,0,4,1,999,34000,248000
28Feb2019 0:00:00,00000000980262,1,0,1,0,1,2,4,6,5,35,70000,211000
31May2018 0:00:00,00000000122989,0,1,1,1,0,1,2,6,5,60,72000,248000
30Jun2018 0:00:00,00000000717672,1,1,1,1,0,2,5,1,3,58,56000,218000
31Aug2018 0:00:00,00000000903305,1,1,0,0,1,2,2,6,1,68,62000,70000
30Apr2018 0:00:00,00000000894422,0,1,0,0,1,3,0,5,4,49,64000,145000
31Jan2019 0:00:00,00000000033734,0,0,1,0,1,4,0,4,2,51,67000,177000
31Aug2018 0:00:00,00000000950919,1,1,1,0,1,5,0,3,2,70,81000,159000
30Nov2018 0:00:00,00000000922470,0,1,0,0,1,2,0,5,1,66,53000,205000
31Oct2018 0:00:00,00000000785161,1,1,0,0,1,4,0,3,1,55,64000,64000
31Jul2018 0:00:00,00000000715818,1,1,0,0,0,2,0,2,1,44,68000,80000
31May2018 0:00:00,00000000034161,1,1,1,0,0,3,2,6,5,20,59000,116000
31Jan2019 0:00:00,00000000949421,1,0,1,0,0,2,0,6,3,48,45000,45000
31Mar2019 0:00:00,00000000970805,1,1,0,0,1,4,2,4,1,30,91000,91000
30Nov2018 0:00:00,00000000703560,0,0,1,0,0,2,0,1,1,42,64000,64000
31Dec2018 0:00:00,00000000988323,1,1,1,1,1,2,3,3,3,71,63000,194000
31Mar2018 0:00:00,00000000306201,0,1,1,1,0,2,4,6,1,71,69000,88000
30Sep2018 0:00:00,00000000820780,1,1,1,1,0,3,5,6,1,88,68000,352000
31Aug2018 0:00:00,00000000883507,1,1,0,0,1,2,2,5,5,26,83000,83000
30Jun2018 0:00:00,00000000901735,0,1,1,1,0,2,3,4,2,90,58000,58000
31Mar2019 0:00:00,00000000929129,0,0,1,0,0,2,1,4,1,69,48000,48000
31Dec2018 0:00:00,00000000899116,0,0,0,0,0,4,1,3,4,59,66000,243000
31Jan2019 0:00:00,00000000844503,1,1,1,1,0,2,3,4,1,48,63000,63000
30Nov2018 0:00:00,00000000994670,0,1,1,1,0,2,4,6,2,52,48000,166000
31Dec2018 0:00:00,00000000630937,0,1,1,0,0,1,0,5,4,46,32000,205000
30Apr2018 0:00:00,00000000970356,1,1,0,1,0,1,2,2,1,71,85000,233000
31Mar2018 0:00:00,00000000790181,0,1,1,0,1,1,0,6,1,36,33000,33000
31Dec2018 0:00:00,00000000121300,0,1,1,1,0,6,2,6,1,62,81000,81000
31Dec2018 0:00:00,00000000899053,1,1,1,0,0,2,4,3,1,39,86000,161000
30Apr2018 0:00:00,00000000949149,0,1,1,0,0,1,1,3,3,56,44000,190000
31Aug2018 0:00:00,00000000822473,0,1,1,0,1,3,1,5,3,28,19000,255000
31Mar2019 0:00:00,00000000992175,1,0,1,0,0,3,3,6,4,35,64000,88000
30Jun2018 0:00:00,00000000838891,0,1,1,0,1,2,0,6,5,66,53000,121000
31May2018 0:00:00,00000000902539,1,0,1,1,1,1,3,2,1,44,63000,138000
31May2018 0:00:00,00000000928340,0,1,1,0,0,4,0,1,2,64,33000,33000
30Sep2018 0:00:00,00000000985024,1,1,1,0,0,2,0,5,1,28,80000,80000
31Dec2018 0:00:00,00000000543591,0,1,1,1,1,2,2,5,3,54,38000,116000
31May2018 0:00:00,00000000942934,1,1,0,0,0,6,2,6,1,49,55000,172000
31Mar2019 0:00:00,00000000978665,1,1,0,0,1,4,1,6,5,55,37000,37000
30Sep2018 0:00:00,00000000806298,1,1,1,0,0,2,0,6,2,44,95000,134000
28Feb2019 0:00:00,00000000857656,1,1,0,0,0,5,2,6,4,40,62000,62000
30Jun2018 0:00:00,00000000895474,0,1,1,0,0,2,3,6,3,55,65000,208000
28Feb2019 0:00:00,00000000994506,0,0,0,1,1,2,4,5,1,56,44000,179000
31Mar2019 0:00:00,00000000982769,0,1,0,0,0,5,0,1,1,68,68000,68000
31Aug2018 0:00:00,00000000599873,1,1,1,1,0,2,1,5,1,27,39000,58000
30Apr2018 0:00:00,00000000988785,1,1,1,0,0,3,5,4,1,51,62000,62000
28Feb2019 0:00:00,00000000305155,1,1,1,0,1,1,0,5,3,33,58000,173000
31May2018 0:00:00,00000000849865,0,0,0,0,1,1,0,5,3,67,54000,136000
30Nov2018 0:00:00,00000000791337,1,0,0,0,0,3,0,6,1,83,42000,46000
30Apr2018 0:00:00,00000000818871,0,1,1,1,0,1,4,4,4,54,31000,31000
28Feb2019 0:00:00,00000000950691,0,0,0,0,0,2,0,6,3,23,30000,148000
30Sep2018 0:00:00,00000000835445,1,1,1,1,0,6,1,2,4,81,66000,194000
31Jul2018 0:00:00,00000000751110,1,0,0,1,0,1,2,5,2,19,24000,42000
31May2018 0:00:00,00000000992560,0,1,0,0,0,1,0,6,5,32,81000,254000
31Aug2018 0:00:00,00000000691061,1,0,1,0,0,3,0,6,1,32,72000,214000
28Feb2019 0:00:00,00000000906010,0,0,1,0,1,2,0,3,5,56,52000,52000
31Mar2018 0:00:00,00000000163792,1,1,1,0,0,3,0,5,2,57,66000,89000
30Sep2018 0:00:00,00000000987892,1,0,1,0,1,5,0,5,2,32,54000,54000
31Mar2018 0:00:00,00000000733864,0,1,0,0,0,1,0,1,5,53,89000,160000
31Oct2018 0:00:00,00000000356492,1,1,1,0,1,3,5,5,1,68,42000,42000
31Jan2019 0:00:00,00000000909738,1,1,1,0,1,3,0,5,4,63,39000,39000
30Apr2018 0:00:00,00000000920473,1,1,0,0,0,3,0,6,1,74,65000,65000
30Jun2018 0:00:00,00000000935535,0,1,1,0,0,4,0,6,1,29,81000,192000
31Mar2018 0:00:00,00000000964204,1,0,0,0,0,2,0,4,4,32,95000,95000
31Mar2018 0:00:00,00000000681219,0,1,1,0,0,4,0,4,4,24,72000,111000
30Apr2018 0:00:00,00000000858807,0,1,1,0,0,1,0,2,1,60,44000,184000
30Nov2018 0:00:00,00000000848971,0,0,0,0,0,1,2,6,3,43,77000,77000
31May2018 0:00:00,00000000919545,1,1,1,0,0,6,0,1,2,26,58000,58000
31Dec2018 0:00:00,00000000835555,1,0,1,1,1,1,4,4,5,49,94000,94000
31Jan2019 0:00:00,00000000301996,0,0,1,0,0,2,4,6,4,36,46000,125000
31Aug2018 0:00:00,00000000692999,0,1,0,0,0,3,0,4,3,59,79000,157000
30Nov2018 0:00:00,00000000987731,1,0,1,1,0,6,4,2,4,71,69000,226000
28Feb2019 0:00:00,00000000414906,1,1,0,1,0,4,1,6,2,49,63000,171000
28Feb2019 0:00:00,00000000696790,1,1,1,1,1,5,1,4,3,56,64000,132000
30Nov2018 0:00:00,00000000839672,0,1,1,0,1,3,2,6,4,56,77000,182000
28Feb2019 0:00:00,00000000652288,1,1,1,0,1,2,0,3,5,56,36000,180000
30Apr2018 0:00:00,00000000623151,0,1,1,0,0,5,0,5,1,54,66000,156000
30Sep2018 0:00:00,00000000968526,1,1,1,0,1,6,0,5,1,26,67000,252000
31Aug2018 0:00:00,00000000423215,1,0,0,0,0,2,0,5,1,84,38000,194000
31Dec2018 0:00:00,00000000968247,0,1,0,0,1,1,0,6,3,80,105000,105000
31Aug2018 0:00:00,00000000507781,0,0,0,0,0,6,0,1,1,76,71000,71000
30Jun2018 0:00:00,00000000994606,0,1,0,0,0,2,0,4,1,80,49000,172000
30Jun2018 0:00:00,00000000155737,0,0,1,0,1,1,1,1,2,67,54000,54000
31Dec2018 0:00:00,00000000920582,1,1,0,0,0,5,0,2,2,37,69000,69000
31Mar2018 0:00:00,00000000962224,1,1,1,1,0,1,5,2,3,55,44000,210000
30Jun2018 0:00:00,00000000825533,0,1,1,0,1,2,0,5,2,56,85000,271000
30Apr2018 0:00:00,00000000042876,0,0,0,0,1,2,0,1,5,45,46000,53000
30Sep2018 0:00:00,00000000149646,1,1,0,0,0,6,0,5,3,41,72000,250000
31Mar2019 0:00:00,00000000893358,1,1,1,0,1,2,1,4,4,29,47000,47000
31Jul2018 0:00:00,00000000157521,0,1,1,0,0,3,0,1,1,34,57000,57000
28Feb2019 0:00:00,00000000982037,0,0,1,0,0,4,0,5,2,33,54000,54000
28Feb2019 0:00:00,00000000981654,0,1,0,0,1,2,0,1,4,24,67000,244000
31Mar2018 0:00:00,00000000812105,1,0,1,0,0,5,0,6,5,76,33000,278000
28Feb2019 0:00:00,00000000832838,1,1,1,1,0,1,1,6,1,39,70000,157000
31Jan2019 0:00:00,00000000900491,0,0,1,0,0,1,0,1,3,64,40000,175000
31Mar2018 0:00:00,00000000636635,0,1,1,0,0,4,0,2,1,42,54000,136000
30Apr2018 0:00:00,00000000855592,1,0,0,0,0,2,0,3,3,31,101000,128000
31Jan2019 0:00:00,00000000908905,0,1,0,0,1,1,0,5,1,56,89000,89000
28Feb2019 0:00:00,00000000951681,1,1,1,0,1,4,2,4,3,45,64000,150000
31Oct2018 0:00:00,00000000627609,1,1,1,0,0,1,0,6,3,21,55000,260000
28Feb2019 0:00:00,00000000969826,0,0,1,0,0,2,2,4,5,59,45000,45000
30Jun2018 0:00:00,00000000577733,0,1,1,0,0,6,0,1,4,19,48000,226000
30Apr2018 0:00:00,00000000624286,1,1,0,0,1,2,0,4,1,22,43000,65000
31Dec2018 0:00:00,00000000932213,1,1,0,0,1,2,0,4,5,52,64000,244000
31Jan2019 0:00:00,00000000981854,1,0,1,0,0,3,3,4,4,47,72000,72000
31Aug2018 0:00:00,00000000819356,0,1,1,0,0,1,0,5,5,76,59000,170000
31Mar2018 0:00:00,00000000591436,1,0,1,0,0,3,0,4,3,68,68000,68000
31Mar2018 0:00:00,00000000324210,0,1,0,1,0,4,1,4,3,59,35000,145000
31Jul2018 0:00:00,00000000831921,0,1,1,0,1,4,0,3,2,24,62000,126000
30Sep2018 0:00:00,00000000098779,1,1,1,1,0,5,2,4,5,56,88000,180000
31Jul2018 0:00:00,00000000120639,1,1,1,0,0,6,3,4,4,76,43000,116000
30Sep2018 0:00:00,00000000978842,1,0,1,1,1,2,2,1,1,26,73000,181000
31Mar2019 0:00:00,00000000980565,1,1,0,0,0,2,0,4,4,84,63000,142000
31Mar2019 0:00:00,00000000975181,0,1,0,0,1,2,0,5,1,57,62000,62000
31Mar2018 0:00:00,00000000093504,1,1,1,0,1,2,0,6,1,46,46000,162000
31Aug2018 0:00:00,00000000757407,1,1,1,0,0,4,0,6,3,54,54000,229000
31May2018 0:00:00,00000000775001,0,1,0,0,0,2,0,5,5,29,101000,101000
31Jan2019 0:00:00,00000000341287,1,1,1,0,0,2,3,1,3,50,25000,33000
31Dec2018 0:00:00,00000000581029,1,1,1,0,0,4,0,3,2,60,80000,112000
31Dec2018 0:00:00,00000000961961,0,1,1,0,1,3,2,1,5,29,27000,87000
31Jul2018 0:00:00,00000000986040,0,1,1,1,0,2,2,5,4,29,51000,80000
31Oct2018 0:00:00,00000000907362,1,1,0,0,0,2,3,4,1,41,84000,145000
31Jul2018 0:00:00,00000000942635,1,1,0,0,0,6,0,4,3,30,65000,65000
31Oct2018 0:00:00,00000000925037,0,1,0,0,0,2,0,1,5,45,74000,97000
28Feb2019 0:00:00,00000000903266,0,1,1,0,0,1,0,6,1,999,78000,78000
31Oct2018 0:00:00,00000000797060,0,0,1,0,1,1,0,6,2,36,48000,48000
31Aug2018 0:00:00,00000000889280,1,1,1,0,1,2,0,5,5,41,52000,149000
31Mar2018 0:00:00,00000000756496,0,1,1,1,1,2,2,2,4,68,60000,146000
31Jan2019 0:00:00,00000000910066,1,1,0,1,0,6,2,6,4,55,30000,171000
30Nov2018 0:00:00,00000000824444,0,1,0,0,0,2,0,6,3,27,59000,291000
31Dec2018 0:00:00,00000000908191,1,0,1,1,1,4,4,2,4,31,45000,122000
30Apr2018 0:00:00,00000000931471,1,1,0,0,0,2,0,1,2,74,75000,113000
31Jul2018 0:00:00,00000000767819,1,0,1,0,0,3,0,6,5,64,74000,94000
30Apr2018 0:00:00,00000000404032,1,1,0,0,0,2,0,6,1,67,83000,132000
31Jul2018 0:00:00,00000000921674,0,1,0,1,0,2,2,1,3,34,77000,77000
31Aug2018 0:00:00,00000000698803,1,1,1,0,0,4,3,5,1,58,38000,190000
31Mar2018 0:00:00,00000000860501,0,1,1,0,0,3,1,2,1,54,65000,151000
31Mar2018 0:00:00,00000000759192,0,1,0,1,0,4,2,6,5,52,73000,89000
31Oct2018 0:00:00,00000000884675,0,1,0,0,0,2,0,5,5,61,59000,208000
31Jul2018 0:00:00,00000000879003,1,1,1,0,0,6,0,6,3,48,53000,53000
31Oct2018 0:00:00,00000000495510,0,1,1,1,1,1,3,1,3,50,64000,111000
31Jul2018 0:00:00,00000000813599,1,0,0,0,0,1,0,1,1,49,55000,189000
31Mar2019 0:00:00,00000000471865,1,1,0,0,0,2,0,4,5,51,16000,317000
30Nov2018 0:00:00,00000000358472,0,0,0,1,0,5,3,1,1,44,40000,40000
31Mar2019 0:00:00,00000000097142,0,1,1,0,0,1,0,1,1,50,70000,70000
31Dec2018 0:00:00,00000000686385,1,0,1,0,0,3,0,6,2,37,88000,200000
30Apr2018 0:00:00,00000000551820,0,0,1,0,0,1,2,6,4,40,70000,87000
30Apr2018 0:00:00,00000000034778,0,1,0,0,0,1,0,5,1,53,44000,93000
31Mar2018 0:00:00,00000000949626,0,1,0,0,0,1,0,2,2,37,26000,75000
31Jan2019 0:00:00,00000000692995,1,1,0,0,0,2,0,1,3,37,57000,154000
31Jan2019 0:00:00,00000000974546,1,1,0,0,1,3,2,5,2,29,38000,38000
30Apr2018 0:00:00,00000000301959,1,1,1,1,0,2,4,6,3,78,64000,144000
31May2018 0:00:00,00000000863728,1,0,0,0,0,2,0,1,2,54,76000,76000
30Sep2018 0:00:00,00000000841391,0,1,1,0,0,4,0,6,1,89,58000,128000
31Mar2019 0:00:00,00000000935167,1,1,1,0,0,1,0,1,1,36,21000,184000
31Aug2018 0:00:00,00000000660195,1,1,0,0,0,1,0,6,5,71,61000,86000
30Nov2018 0:00:00,00000000916767,1,1,0,0,1,2,3,4,2,78,48000,53000
31Oct2018 0:00:00,00000000960563,1,0,0,0,1,2,0,1,4,43,74000,301000
30Nov2018 0:00:00,00000000077964,1,1,1,0,1,2,0,5,5,59,40000,135000
31Oct2018 0:00:00,00000000984995,0,0,1,0,1,1,0,6,5,40,48000,97000
31Jul2018 0:00:00,00000000061967,1,1,1,0,0,4,0,6,3,37,55000,221000
30Jun2018 0:00:00,00000000390692,0,1,1,0,0,2,0,6,1,67,89000,89000
31Jan2019 0:00:00,00000000988556,0,0,1,0,0,4,0,3,1,38,65000,84000
31Jul2018 0:00:00,00000000993967,0,0,1,0,0,2,0,6,1,60,46000,46000
30Jun2018 0:00:00,00000000799432,0,1,0,1,0,4,3,5,3,49,70000,84000
31Jan2019 0:00:00,00000000900052,0,1,1,0,0,6,0,6,5,81,20000,102000
31Jan2019 0:00:00,00000000796566,1,0,1,0,0,6,0,2,5,45,51000,51000
31Mar2018 0:00:00,00000000678582,1,1,0,0,0,3,0,5,1,28,75000,148000
31Jan2019 0:00:00,00000000117509,1,0,0,0,1,6,1,5,1,20,48000,48000
30Nov2018 0:00:00,00000000995380,1,0,1,0,0,2,0,1,5,69,79000,79000
31Oct2018 0:00:00,00000000936351,1,1,1,0,0,2,1,2,1,52,45000,134000
31Mar2018 0:00:00,00000000842423,0,1,1,0,0,4,0,3,1,23,76000,87000
28Feb2019 0:00:00,00000000878369,0,1,0,0,0,2,0,6,1,49,45000,138000
31Jan2019 0:00:00,00000000952538,1,1,0,0,1,3,1,4,3,63,71000,71000
31May2018 0:00:00,00000000951303,1,1,1,1,0,1,2,3,2,45,99000,99000
30Jun2018 0:00:00,00000000588962,0,1,1,1,0,1,3,6,3,72,63000,81000
31May2018 0:00:00,00000000876990,0,1,0,0,0,3,0,4,2,35,81000,169000
31Mar2019 0:00:00,00000000813349,1,1,1,0,0,2,0,6,4,48,77000,140000
30Jun2018 0:00:00,00000000746972,0,1,1,0,0,1,1,6,5,69,40000,188000
30Apr2018 0:00:00,00000000982865,0,1,0,0,0,1,0,6,2,44,107000,107000
28Feb2019 0:00:00,00000000931016,0,1,1,0,1,1,0,4,3,73,66000,66000
31Aug2018 0:00:00,00000000492080,1,1,1,0,0,6,0,5,1,59,52000,52000
31Oct2018 0:00:00,00000000031496,0,1,1,0,0,1,0,6,2,80,22000,245000
31May2018 0:00:00,00000000916029,1,1,1,0,1,5,0,1,5,64,38000,107000
30Sep2018 0:00:00,00000000978963,0,1,1,0,0,2,1,6,2,61,84000,185000
31Oct2018 0:00:00,00000000806522,1,1,1,0,1,2,0,6,1,19,52000,271000
31Aug2018 0:00:00,00000000941565,1,1,0,0,1,3,0,4,1,71,67000,189000
31Mar2018 0:00:00,00000000852676,1,1,1,0,1,1,0,2,4,27,86000,86000
30Apr2018 0:00:00,00000000495687,1,0,1,1,0,2,1,6,4,76,85000,223000
30Sep2018 0:00:00,00000000923625,1,1,1,1,0,3,1,3,1,72,68000,143000
31Aug2018 0:00:00,00000000642261,1,1,1,0,1,1,0,6,5,45,99000,196000
30Apr2018 0:00:00,00000000779243,0,0,1,0,0,1,0,6,3,90,35000,92000
30Nov2018 0:00:00,00000000989001,1,0,1,1,0,3,3,3,1,37,16000,17000
31Jul2018 0:00:00,00000000149187,1,1,0,0,1,2,0,6,3,45,66000,207000
30Sep2018 0:00:00,00000000301831,1,1,1,0,0,1,0,1,1,42,53000,85000
31Aug2018 0:00:00,00000000992822,1,1,1,0,0,1,0,3,3,25,56000,123000
30Apr2018 0:00:00,00000000718283,0,1,0,0,0,2,0,6,1,56,71000,71000
31Mar2019 0:00:00,00000000764676,1,0,1,0,1,4,0,5,5,83,55000,163000
31Mar2019 0:00:00,00000000976319,1,1,1,0,1,1,0,3,3,53,97000,97000
30Sep2018 0:00:00,00000000829614,0,1,1,0,0,4,0,5,4,83,63000,113000
31Mar2018 0:00:00,00000000626125,0,1,0,0,0,2,0,6,4,62,81000,209000
30Apr2018 0:00:00,00000000956439,1,1,1,1,0,4,2,3,1,56,61000,161000
30Sep2018 0:00:00,00000000948116,1,1,1,0,0,3,0,6,2,54,40000,155000
28Feb2019 0:00:00,00000000487689,0,1,1,0,0,1,4,6,1,79,65000,65000
31Jul2018 0:00:00,00000000969371,1,1,1,1,1,2,1,6,5,35,86000,228000
30Sep2018 0:00:00,00000000704703,1,1,1,0,0,1,0,5,1,54,77000,89000
31Dec2018 0:00:00,00000000118937,0,1,1,1,1,2,4,4,4,81,79000,207000
31Mar2019 0:00:00,00000000870096,0,1,1,0,1,2,3,2,1,39,74000,74000
31Mar2019 0:00:00,00000000936842,1,0,1,1,0,2,4,4,4,88,35000,35000
